image,label,wnid,ilsvrc_id
ILSVRC2012_val_00000158.JPEG,ILSVRC2012_val_00000158.xml,n04086273,219
ILSVRC2012_val_00000159.JPEG,ILSVRC2012_val_00000159.xml,n04201297,832
ILSVRC2012_val_00000160.JPEG,ILSVRC2012_val_00000160.xml,n03733281,922
ILSVRC2012_val_00000162.JPEG,ILSVRC2012_val_00000162.xml,n03016953,303
ILSVRC2012_val_00000163.JPEG,ILSVRC2012_val_00000163.xml,n03733805,946
ILSVRC2012_val_00000166.JPEG,ILSVRC2012_val_00000166.xml,n03854065,333
ILSVRC2012_val_00000168.JPEG,ILSVRC2012_val_00000168.xml,n03786901,824
ILSVRC2012_val_00000169.JPEG,ILSVRC2012_val_00000169.xml,n03467068,517
ILSVRC2012_val_00000173.JPEG,ILSVRC2012_val_00000173.xml,n03775546,829
ILSVRC2012_val_00000182.JPEG,ILSVRC2012_val_00000182.xml,n03259280,662
ILSVRC2012_val_00000184.JPEG,ILSVRC2012_val_00000184.xml,n03710637,782
ILSVRC2012_val_00000190.JPEG,ILSVRC2012_val_00000190.xml,n03476684,581
ILSVRC2012_val_00000192.JPEG,ILSVRC2012_val_00000192.xml,n03891251,306
ILSVRC2012_val_00000194.JPEG,ILSVRC2012_val_00000194.xml,n04125021,753
ILSVRC2012_val_00000197.JPEG,ILSVRC2012_val_00000197.xml,n07697537,885
ILSVRC2012_val_00000199.JPEG,ILSVRC2012_val_00000199.xml,n03290653,316
ILSVRC2012_val_00000200.JPEG,ILSVRC2012_val_00000200.xml,n13037406,956
ILSVRC2012_val_00000201.JPEG,ILSVRC2012_val_00000201.xml,n03891332,527
ILSVRC2012_val_00000202.JPEG,ILSVRC2012_val_00000202.xml,n02883205,817
ILSVRC2012_val_00000204.JPEG,ILSVRC2012_val_00000204.xml,n02672831,223
ILSVRC2012_val_00000205.JPEG,ILSVRC2012_val_00000205.xml,n04330267,516
ILSVRC2012_val_00000208.JPEG,ILSVRC2012_val_00000208.xml,n03584829,659
ILSVRC2012_val_00000209.JPEG,ILSVRC2012_val_00000209.xml,n07565083,803
ILSVRC2012_val_00000210.JPEG,ILSVRC2012_val_00000210.xml,n03125729,297
ILSVRC2012_val_00000212.JPEG,ILSVRC2012_val_00000212.xml,n04536866,343
ILSVRC2012_val_00000213.JPEG,ILSVRC2012_val_00000213.xml,n02965783,576
ILSVRC2012_val_00000215.JPEG,ILSVRC2012_val_00000215.xml,n02965783,576
ILSVRC2012_val_00000216.JPEG,ILSVRC2012_val_00000216.xml,n11879895,330
ILSVRC2012_val_00000219.JPEG,ILSVRC2012_val_00000219.xml,n03595614,961
ILSVRC2012_val_00000221.JPEG,ILSVRC2012_val_00000221.xml,n03709823,818
ILSVRC2012_val_00000222.JPEG,ILSVRC2012_val_00000222.xml,n03777754,764
ILSVRC2012_val_00000226.JPEG,ILSVRC2012_val_00000226.xml,n02909870,820
ILSVRC2012_val_00000230.JPEG,ILSVRC2012_val_00000230.xml,n03998194,769
ILSVRC2012_val_00000232.JPEG,ILSVRC2012_val_00000232.xml,n04192698,800
ILSVRC2012_val_00000239.JPEG,ILSVRC2012_val_00000239.xml,n02837789,985
ILSVRC2012_val_00000240.JPEG,ILSVRC2012_val_00000240.xml,n03888605,994
ILSVRC2012_val_00000241.JPEG,ILSVRC2012_val_00000241.xml,n03201208,315
ILSVRC2012_val_00000243.JPEG,ILSVRC2012_val_00000243.xml,n03814639,595
ILSVRC2012_val_00000244.JPEG,ILSVRC2012_val_00000244.xml,n04090263,541
ILSVRC2012_val_00000249.JPEG,ILSVRC2012_val_00000249.xml,n03134739,756
ILSVRC2012_val_00000250.JPEG,ILSVRC2012_val_00000250.xml,n03016953,303
ILSVRC2012_val_00000251.JPEG,ILSVRC2012_val_00000251.xml,n12620546,328
ILSVRC2012_val_00000253.JPEG,ILSVRC2012_val_00000253.xml,n02815834,991
ILSVRC2012_val_00000256.JPEG,ILSVRC2012_val_00000256.xml,n03207743,821
ILSVRC2012_val_00000257.JPEG,ILSVRC2012_val_00000257.xml,n02992529,914
ILSVRC2012_val_00000259.JPEG,ILSVRC2012_val_00000259.xml,n03729826,984
ILSVRC2012_val_00000260.JPEG,ILSVRC2012_val_00000260.xml,n04033995,976
ILSVRC2012_val_00000264.JPEG,ILSVRC2012_val_00000264.xml,n03874293,564
ILSVRC2012_val_00000265.JPEG,ILSVRC2012_val_00000265.xml,n03874599,584
ILSVRC2012_val_00000266.JPEG,ILSVRC2012_val_00000266.xml,n04238763,549
ILSVRC2012_val_00000267.JPEG,ILSVRC2012_val_00000267.xml,n07584110,844
ILSVRC2012_val_00000268.JPEG,ILSVRC2012_val_00000268.xml,n02749479,540
ILSVRC2012_val_00000274.JPEG,ILSVRC2012_val_00000274.xml,n06874185,861
ILSVRC2012_val_00000275.JPEG,ILSVRC2012_val_00000275.xml,n04074963,578
ILSVRC2012_val_00000277.JPEG,ILSVRC2012_val_00000277.xml,n03803284,588
ILSVRC2012_val_00000280.JPEG,ILSVRC2012_val_00000280.xml,n04554684,669
ILSVRC2012_val_00000282.JPEG,ILSVRC2012_val_00000282.xml,n03595614,961
ILSVRC2012_val_00000284.JPEG,ILSVRC2012_val_00000284.xml,n04515003,334
ILSVRC2012_val_00000285.JPEG,ILSVRC2012_val_00000285.xml,n04591157,935
ILSVRC2012_val_00000287.JPEG,ILSVRC2012_val_00000287.xml,n02794156,518
ILSVRC2012_val_00000290.JPEG,ILSVRC2012_val_00000290.xml,n04328186,528
ILSVRC2012_val_00000291.JPEG,ILSVRC2012_val_00000291.xml,n04479046,825
ILSVRC2012_val_00000302.JPEG,ILSVRC2012_val_00000302.xml,n02939185,673
ILSVRC2012_val_00000304.JPEG,ILSVRC2012_val_00000304.xml,n12985857,886
ILSVRC2012_val_00000305.JPEG,ILSVRC2012_val_00000305.xml,n03485794,750
ILSVRC2012_val_00000308.JPEG,ILSVRC2012_val_00000308.xml,n03590841,592
ILSVRC2012_val_00000309.JPEG,ILSVRC2012_val_00000309.xml,n07697537,885
ILSVRC2012_val_00000315.JPEG,ILSVRC2012_val_00000315.xml,n02787622,341
ILSVRC2012_val_00000317.JPEG,ILSVRC2012_val_00000317.xml,n03888605,994
ILSVRC2012_val_00000321.JPEG,ILSVRC2012_val_00000321.xml,n03085013,543
ILSVRC2012_val_00000325.JPEG,ILSVRC2012_val_00000325.xml,n04141327,809
ILSVRC2012_val_00000331.JPEG,ILSVRC2012_val_00000331.xml,n04070727,668
ILSVRC2012_val_00000334.JPEG,ILSVRC2012_val_00000334.xml,n03976657,923
ILSVRC2012_val_00000335.JPEG,ILSVRC2012_val_00000335.xml,n03902125,843
ILSVRC2012_val_00000336.JPEG,ILSVRC2012_val_00000336.xml,n02909870,820
ILSVRC2012_val_00000338.JPEG,ILSVRC2012_val_00000338.xml,n04532106,790
ILSVRC2012_val_00000339.JPEG,ILSVRC2012_val_00000339.xml,n03197337,529
ILSVRC2012_val_00000344.JPEG,ILSVRC2012_val_00000344.xml,n03062245,761
ILSVRC2012_val_00000345.JPEG,ILSVRC2012_val_00000345.xml,n04286575,593
ILSVRC2012_val_00000346.JPEG,ILSVRC2012_val_00000346.xml,n03018349,301
ILSVRC2012_val_00000349.JPEG,ILSVRC2012_val_00000349.xml,n04277352,775
ILSVRC2012_val_00000351.JPEG,ILSVRC2012_val_00000351.xml,n04589890,912
ILSVRC2012_val_00000352.JPEG,ILSVRC2012_val_00000352.xml,n02965783,576
ILSVRC2012_val_00000353.JPEG,ILSVRC2012_val_00000353.xml,n02978881,890
ILSVRC2012_val_00000354.JPEG,ILSVRC2012_val_00000354.xml,n02804414,296
ILSVRC2012_val_00000359.JPEG,ILSVRC2012_val_00000359.xml,n03657121,988
ILSVRC2012_val_00000360.JPEG,ILSVRC2012_val_00000360.xml,n03876231,504
ILSVRC2012_val_00000364.JPEG,ILSVRC2012_val_00000364.xml,n03710193,917
ILSVRC2012_val_00000366.JPEG,ILSVRC2012_val_00000366.xml,n02916936,833
ILSVRC2012_val_00000367.JPEG,ILSVRC2012_val_00000367.xml,n03492542,573
ILSVRC2012_val_00000368.JPEG,ILSVRC2012_val_00000368.xml,n03998194,769
ILSVRC2012_val_00000373.JPEG,ILSVRC2012_val_00000373.xml,n03874293,564
ILSVRC2012_val_00000374.JPEG,ILSVRC2012_val_00000374.xml,n03272010,346
ILSVRC2012_val_00000376.JPEG,ILSVRC2012_val_00000376.xml,n02999410,827
ILSVRC2012_val_00000377.JPEG,ILSVRC2012_val_00000377.xml,n04179913,559
ILSVRC2012_val_00000378.JPEG,ILSVRC2012_val_00000378.xml,n07831146,999
ILSVRC2012_val_00000380.JPEG,ILSVRC2012_val_00000380.xml,n04350905,794
ILSVRC2012_val_00000381.JPEG,ILSVRC2012_val_00000381.xml,n04507155,220
ILSVRC2012_val_00000385.JPEG,ILSVRC2012_val_00000385.xml,n03680355,973
ILSVRC2012_val_00000388.JPEG,ILSVRC2012_val_00000388.xml,n02787622,341
ILSVRC2012_val_00000392.JPEG,ILSVRC2012_val_00000392.xml,n02950826,539
ILSVRC2012_val_00000397.JPEG,ILSVRC2012_val_00000397.xml,n04409515,970
ILSVRC2012_val_00000400.JPEG,ILSVRC2012_val_00000400.xml,n02786058,967
ILSVRC2012_val_00000408.JPEG,ILSVRC2012_val_00000408.xml,n13133613,329
ILSVRC2012_val_00000412.JPEG,ILSVRC2012_val_00000412.xml,n13133613,329
ILSVRC2012_val_00000413.JPEG,ILSVRC2012_val_00000413.xml,n04355933,574
ILSVRC2012_val_00000416.JPEG,ILSVRC2012_val_00000416.xml,n04428191,555
ILSVRC2012_val_00000417.JPEG,ILSVRC2012_val_00000417.xml,n02666196,547
ILSVRC2012_val_00000421.JPEG,ILSVRC2012_val_00000421.xml,n04099969,310
ILSVRC2012_val_00000422.JPEG,ILSVRC2012_val_00000422.xml,n02747177,752
ILSVRC2012_val_00000426.JPEG,ILSVRC2012_val_00000426.xml,n03710637,782
ILSVRC2012_val_00000427.JPEG,ILSVRC2012_val_00000427.xml,n03637318,814
ILSVRC2012_val_00000428.JPEG,ILSVRC2012_val_00000428.xml,n03942813,841
ILSVRC2012_val_00000430.JPEG,ILSVRC2012_val_00000430.xml,n03794056,599
ILSVRC2012_val_00000433.JPEG,ILSVRC2012_val_00000433.xml,n04525038,969
ILSVRC2012_val_00000435.JPEG,ILSVRC2012_val_00000435.xml,n03709823,818
ILSVRC2012_val_00000438.JPEG,ILSVRC2012_val_00000438.xml,n03938244,888
ILSVRC2012_val_00000442.JPEG,ILSVRC2012_val_00000442.xml,n04136333,938
ILSVRC2012_val_00000445.JPEG,ILSVRC2012_val_00000445.xml,n03355925,995
ILSVRC2012_val_00000448.JPEG,ILSVRC2012_val_00000448.xml,n03495258,344
ILSVRC2012_val_00000449.JPEG,ILSVRC2012_val_00000449.xml,n04447861,312
ILSVRC2012_val_00000451.JPEG,ILSVRC2012_val_00000451.xml,n03584829,659
ILSVRC2012_val_00000453.JPEG,ILSVRC2012_val_00000453.xml,n04116512,997
ILSVRC2012_val_00000454.JPEG,ILSVRC2012_val_00000454.xml,n04019541,572
ILSVRC2012_val_00000458.JPEG,ILSVRC2012_val_00000458.xml,n03992509,566
ILSVRC2012_val_00000459.JPEG,ILSVRC2012_val_00000459.xml,n02769748,847
ILSVRC2012_val_00000464.JPEG,ILSVRC2012_val_00000464.xml,n04398044,675
ILSVRC2012_val_00000465.JPEG,ILSVRC2012_val_00000465.xml,n03920288,783
ILSVRC2012_val_00000467.JPEG,ILSVRC2012_val_00000467.xml,n03272010,346
ILSVRC2012_val_00000468.JPEG,ILSVRC2012_val_00000468.xml,n04008634,542
ILSVRC2012_val_00000469.JPEG,ILSVRC2012_val_00000469.xml,n04090263,541
ILSVRC2012_val_00000472.JPEG,ILSVRC2012_val_00000472.xml,n13037406,956
ILSVRC2012_val_00000473.JPEG,ILSVRC2012_val_00000473.xml,n04067472,570
ILSVRC2012_val_00000477.JPEG,ILSVRC2012_val_00000477.xml,n03476684,581
ILSVRC2012_val_00000479.JPEG,ILSVRC2012_val_00000479.xml,n04487394,349
ILSVRC2012_val_00000482.JPEG,ILSVRC2012_val_00000482.xml,n04550184,317
ILSVRC2012_val_00000484.JPEG,ILSVRC2012_val_00000484.xml,n12144580,331
ILSVRC2012_val_00000485.JPEG,ILSVRC2012_val_00000485.xml,n03126707,545
ILSVRC2012_val_00000488.JPEG,ILSVRC2012_val_00000488.xml,n03777754,764
ILSVRC2012_val_00000489.JPEG,ILSVRC2012_val_00000489.xml,n03924679,789
ILSVRC2012_val_00000491.JPEG,ILSVRC2012_val_00000491.xml,n07875152,830
ILSVRC2012_val_00000493.JPEG,ILSVRC2012_val_00000493.xml,n03188531,966
ILSVRC2012_val_00000494.JPEG,ILSVRC2012_val_00000494.xml,n02777292,767
ILSVRC2012_val_00000497.JPEG,ILSVRC2012_val_00000497.xml,n04579432,502
ILSVRC2012_val_00000499.JPEG,ILSVRC2012_val_00000499.xml,n02666196,547
ILSVRC2012_val_00000503.JPEG,ILSVRC2012_val_00000503.xml,n03201208,315
ILSVRC2012_val_00000504.JPEG,ILSVRC2012_val_00000504.xml,n03240683,834
ILSVRC2012_val_00000505.JPEG,ILSVRC2012_val_00000505.xml,n03590841,592
ILSVRC2012_val_00000506.JPEG,ILSVRC2012_val_00000506.xml,n03018349,301
ILSVRC2012_val_00000508.JPEG,ILSVRC2012_val_00000508.xml,n04251144,507
ILSVRC2012_val_00000513.JPEG,ILSVRC2012_val_00000513.xml,n04476259,766
ILSVRC2012_val_00000514.JPEG,ILSVRC2012_val_00000514.xml,n02843684,839
ILSVRC2012_val_00000515.JPEG,ILSVRC2012_val_00000515.xml,n04008634,542
ILSVRC2012_val_00000516.JPEG,ILSVRC2012_val_00000516.xml,n03400231,671
ILSVRC2012_val_00000519.JPEG,ILSVRC2012_val_00000519.xml,n03761084,661
ILSVRC2012_val_00000521.JPEG,ILSVRC2012_val_00000521.xml,n03840681,351
ILSVRC2012_val_00000526.JPEG,ILSVRC2012_val_00000526.xml,n04476259,766
ILSVRC2012_val_00000527.JPEG,ILSVRC2012_val_00000527.xml,n04209239,747
ILSVRC2012_val_00000534.JPEG,ILSVRC2012_val_00000534.xml,n03133878,670
ILSVRC2012_val_00000538.JPEG,ILSVRC2012_val_00000538.xml,n04553703,906
ILSVRC2012_val_00000540.JPEG,ILSVRC2012_val_00000540.xml,n03825788,915
ILSVRC2012_val_00000542.JPEG,ILSVRC2012_val_00000542.xml,n03250847,799
ILSVRC2012_val_00000543.JPEG,ILSVRC2012_val_00000543.xml,n07860988,864
ILSVRC2012_val_00000549.JPEG,ILSVRC2012_val_00000549.xml,n03868863,506
ILSVRC2012_val_00000550.JPEG,ILSVRC2012_val_00000550.xml,n04229816,776
ILSVRC2012_val_00000555.JPEG,ILSVRC2012_val_00000555.xml,n04487394,349
ILSVRC2012_val_00000557.JPEG,ILSVRC2012_val_00000557.xml,n02979186,929
ILSVRC2012_val_00000558.JPEG,ILSVRC2012_val_00000558.xml,n02910353,580
ILSVRC2012_val_00000566.JPEG,ILSVRC2012_val_00000566.xml,n02999410,827
ILSVRC2012_val_00000567.JPEG,ILSVRC2012_val_00000567.xml,n04435653,780
ILSVRC2012_val_00000568.JPEG,ILSVRC2012_val_00000568.xml,n04228054,590
ILSVRC2012_val_00000572.JPEG,ILSVRC2012_val_00000572.xml,n07880968,900
ILSVRC2012_val_00000574.JPEG,ILSVRC2012_val_00000574.xml,n07614500,974
ILSVRC2012_val_00000575.JPEG,ILSVRC2012_val_00000575.xml,n03532672,562
ILSVRC2012_val_00000580.JPEG,ILSVRC2012_val_00000580.xml,n02977058,548
ILSVRC2012_val_00000583.JPEG,ILSVRC2012_val_00000583.xml,n04350905,794
ILSVRC2012_val_00000586.JPEG,ILSVRC2012_val_00000586.xml,n04562935,795
ILSVRC2012_val_00000587.JPEG,ILSVRC2012_val_00000587.xml,n04590129,904
ILSVRC2012_val_00000596.JPEG,ILSVRC2012_val_00000596.xml,n02950826,539
ILSVRC2012_val_00000602.JPEG,ILSVRC2012_val_00000602.xml,n04399382,786
ILSVRC2012_val_00000606.JPEG,ILSVRC2012_val_00000606.xml,n07880968,900
ILSVRC2012_val_00000607.JPEG,ILSVRC2012_val_00000607.xml,n03598930,963
ILSVRC2012_val_00000608.JPEG,ILSVRC2012_val_00000608.xml,n03724870,781
ILSVRC2012_val_00000614.JPEG,ILSVRC2012_val_00000614.xml,n04141076,355
ILSVRC2012_val_00000615.JPEG,ILSVRC2012_val_00000615.xml,n04136333,938
ILSVRC2012_val_00000616.JPEG,ILSVRC2012_val_00000616.xml,n13133613,329
ILSVRC2012_val_00000620.JPEG,ILSVRC2012_val_00000620.xml,n07613480,793
ILSVRC2012_val_00000621.JPEG,ILSVRC2012_val_00000621.xml,n04008634,542
ILSVRC2012_val_00000622.JPEG,ILSVRC2012_val_00000622.xml,n04141327,809
ILSVRC2012_val_00000627.JPEG,ILSVRC2012_val_00000627.xml,n04392985,978
ILSVRC2012_val_00000629.JPEG,ILSVRC2012_val_00000629.xml,n04204238,950
ILSVRC2012_val_00000630.JPEG,ILSVRC2012_val_00000630.xml,n07831146,999
ILSVRC2012_val_00000632.JPEG,ILSVRC2012_val_00000632.xml,n12144580,331
ILSVRC2012_val_00000636.JPEG,ILSVRC2012_val_00000636.xml,n03532672,562
ILSVRC2012_val_00000637.JPEG,ILSVRC2012_val_00000637.xml,n03126707,545
ILSVRC2012_val_00000640.JPEG,ILSVRC2012_val_00000640.xml,n03691459,508
ILSVRC2012_val_00000641.JPEG,ILSVRC2012_val_00000641.xml,n03404251,757
ILSVRC2012_val_00000646.JPEG,ILSVRC2012_val_00000646.xml,n07831146,999
ILSVRC2012_val_00000647.JPEG,ILSVRC2012_val_00000647.xml,n03584254,980
ILSVRC2012_val_00000649.JPEG,ILSVRC2012_val_00000649.xml,n03804744,585
ILSVRC2012_val_00000652.JPEG,ILSVRC2012_val_00000652.xml,n03933933,596
ILSVRC2012_val_00000653.JPEG,ILSVRC2012_val_00000653.xml,n04409515,970
ILSVRC2012_val_00000656.JPEG,ILSVRC2012_val_00000656.xml,n03920288,783
ILSVRC2012_val_00000660.JPEG,ILSVRC2012_val_00000660.xml,n03642806,228
ILSVRC2012_val_00000662.JPEG,ILSVRC2012_val_00000662.xml,n03452741,227
ILSVRC2012_val_00000666.JPEG,ILSVRC2012_val_00000666.xml,n04505470,544
ILSVRC2012_val_00000667.JPEG,ILSVRC2012_val_00000667.xml,n04086273,219
ILSVRC2012_val_00000673.JPEG,ILSVRC2012_val_00000673.xml,n04141076,355
ILSVRC2012_val_00000676.JPEG,ILSVRC2012_val_00000676.xml,n03976657,923
ILSVRC2012_val_00000677.JPEG,ILSVRC2012_val_00000677.xml,n03832673,552
ILSVRC2012_val_00000681.JPEG,ILSVRC2012_val_00000681.xml,n03884397,352
ILSVRC2012_val_00000682.JPEG,ILSVRC2012_val_00000682.xml,n04019541,572
ILSVRC2012_val_00000684.JPEG,ILSVRC2012_val_00000684.xml,n03633091,892
ILSVRC2012_val_00000686.JPEG,ILSVRC2012_val_00000686.xml,n03623198,773
ILSVRC2012_val_00000687.JPEG,ILSVRC2012_val_00000687.xml,n02795169,905
ILSVRC2012_val_00000697.JPEG,ILSVRC2012_val_00000697.xml,n09229709,992
ILSVRC2012_val_00000698.JPEG,ILSVRC2012_val_00000698.xml,n03207941,667
ILSVRC2012_val_00000701.JPEG,ILSVRC2012_val_00000701.xml,n04367480,828
ILSVRC2012_val_00000702.JPEG,ILSVRC2012_val_00000702.xml,n03933933,596
ILSVRC2012_val_00000704.JPEG,ILSVRC2012_val_00000704.xml,n04355933,574
ILSVRC2012_val_00000705.JPEG,ILSVRC2012_val_00000705.xml,n13040303,893
ILSVRC2012_val_00000706.JPEG,ILSVRC2012_val_00000706.xml,n02786058,967
ILSVRC2012_val_00000707.JPEG,ILSVRC2012_val_00000707.xml,n04090263,541
ILSVRC2012_val_00000710.JPEG,ILSVRC2012_val_00000710.xml,n03720891,338
ILSVRC2012_val_00000712.JPEG,ILSVRC2012_val_00000712.xml,n04517823,666
ILSVRC2012_val_00000718.JPEG,ILSVRC2012_val_00000718.xml,n03133878,670
ILSVRC2012_val_00000721.JPEG,ILSVRC2012_val_00000721.xml,n02783161,907
ILSVRC2012_val_00000722.JPEG,ILSVRC2012_val_00000722.xml,n03958227,964
ILSVRC2012_val_00000728.JPEG,ILSVRC2012_val_00000728.xml,n07583066,813
ILSVRC2012_val_00000730.JPEG,ILSVRC2012_val_00000730.xml,n03146219,865
ILSVRC2012_val_00000731.JPEG,ILSVRC2012_val_00000731.xml,n12998815,913
ILSVRC2012_val_00000732.JPEG,ILSVRC2012_val_00000732.xml,n03425413,567
ILSVRC2012_val_00000734.JPEG,ILSVRC2012_val_00000734.xml,n03594734,748
ILSVRC2012_val_00000736.JPEG,ILSVRC2012_val_00000736.xml,n02992211,342
ILSVRC2012_val_00000737.JPEG,ILSVRC2012_val_00000737.xml,n04442312,664
ILSVRC2012_val_00000741.JPEG,ILSVRC2012_val_00000741.xml,n03485794,750
ILSVRC2012_val_00000742.JPEG,ILSVRC2012_val_00000742.xml,n07583066,813
ILSVRC2012_val_00000743.JPEG,ILSVRC2012_val_00000743.xml,n03347037,919
ILSVRC2012_val_00000750.JPEG,ILSVRC2012_val_00000750.xml,n03045698,797
ILSVRC2012_val_00000755.JPEG,ILSVRC2012_val_00000755.xml,n13044778,878
ILSVRC2012_val_00000757.JPEG,ILSVRC2012_val_00000757.xml,n07875152,830
ILSVRC2012_val_00000759.JPEG,ILSVRC2012_val_00000759.xml,n02791124,307
ILSVRC2012_val_00000761.JPEG,ILSVRC2012_val_00000761.xml,n03207743,821
ILSVRC2012_val_00000763.JPEG,ILSVRC2012_val_00000763.xml,n02865351,940
ILSVRC2012_val_00000765.JPEG,ILSVRC2012_val_00000765.xml,n03976467,857
ILSVRC2012_val_00000766.JPEG,ILSVRC2012_val_00000766.xml,n03124043,910
ILSVRC2012_val_00000770.JPEG,ILSVRC2012_val_00000770.xml,n04040759,571
ILSVRC2012_val_00000771.JPEG,ILSVRC2012_val_00000771.xml,n02730930,845
ILSVRC2012_val_00000773.JPEG,ILSVRC2012_val_00000773.xml,n07873807,948
ILSVRC2012_val_00000776.JPEG,ILSVRC2012_val_00000776.xml,n03534580,802
ILSVRC2012_val_00000777.JPEG,ILSVRC2012_val_00000777.xml,n03179701,313
ILSVRC2012_val_00000780.JPEG,ILSVRC2012_val_00000780.xml,n03450230,911
ILSVRC2012_val_00000782.JPEG,ILSVRC2012_val_00000782.xml,n07836838,953
ILSVRC2012_val_00000783.JPEG,ILSVRC2012_val_00000783.xml,n03691459,508
ILSVRC2012_val_00000787.JPEG,ILSVRC2012_val_00000787.xml,n02795169,905
ILSVRC2012_val_00000789.JPEG,ILSVRC2012_val_00000789.xml,n07583066,813
ILSVRC2012_val_00000790.JPEG,ILSVRC2012_val_00000790.xml,n02749479,540
ILSVRC2012_val_00000792.JPEG,ILSVRC2012_val_00000792.xml,n04131690,952
